projectName,SingleLineComments,TotalNoOfOperands,NoOfUniqueOperands,HalsteadProgramEffort,ES2016Compliant,HalsteadProgramVolume,LargestSignatureInFunction,NoOfObjects,HighestCyclomaticComplexity,ES2017Compliant,LongestCallingChain,AvgCallingChain,AvgFanIn,TotalNoOfOperators,Sloc,MultiLineComments,LargestCognitiveComplexity,NoofStatementsInLargestFunction,HighestFanIn,ES2015Compliant,HalsteadDifficulty,AvgNoOfStatementsInFunction,NoOfPropertiesInLargestObject,AvgCyclomaticComplexity,ES2018Compliant,HalsteadProgramLength,NoOfUniqueOperators,AvgFanOut,MaintainabilityIndex,HighestFanOut,AvgCognitiveComplexity,NoOfFunctionsDeclarations,AvgNoOfPropertiesPerObject,Lloc
"node-uuid-1.4.8","62","38.0","32.0","19664.39","false","1439.56","3","3","40.0","false","0.0","0.0","0.0","211.0","161","1","72.0","34","0","false","13.66","0","0","1.0","false","249.0","23.0","0.0","96.93246111979494","0","9.0","13","0","151"
"broccoli-asset-rev-3.0.0","2","9.0","9.0","371.23","false","148.49","2","2","10.0","false","0.0","0.0","0.0","30.0","35","0","1.0","27","0","false","2.5","0","0","1.0","false","39.0","5.0","0.0","104.86641321347665","0","0.0","2","0","34"
"ember-cli-inject-live-reload-2.0.1","1","15.0","13.0","602.63","false","174.17","2","1","13.0","false","0.0","0.0","0.0","26.0","61","0","7.0","14","0","true","3.46","1","4","2.0","false","41.0","6.0","0.0","105.0777052293553","0","2.0","4","4","45"
"ember-cli-htmlbars-3.0.1","2","16.0","16.0","1057.6","false","211.52","2","5","4.0","false","0.0","0.0","0.0","29.0","97","0","7.0","10","0","true","5.0","1","2","1.0","false","45.0","10.0","0.0","111.58891130284006","0","1.0","10","0","64"
"ember-export-application-global-2.0.0","0","0.0","0.0","0.0","false","0.0","0","1","1.0","false","0.0","0.0","0.0","1.0","5","1","0.0","0","0","false","0.0","0","1","1.0","false","1.0","1.0","0.0","144.92710581856758","0","0.0","0","1","3"
"ember-cli-qunit-4.4.0","3","1.0","1.0","1.0","false","2.0","1","2","1.0","false","0.0","0.0","0.0","1.0","14","1","0.0","2","0","false","0.5","0","3","1.0","false","2.0","1.0","0.0","139.47625558530393","0","0.0","2","2","9"
"socket.io-2.2.0","14","45.0","40.0","10087.38","false","1120.82","3","7","13.0","false","0.0","0.0","0.0","148.0","303","23","18.0","20","0","false","9.0","1","4","2.0","false","193.0","16.0","0.0","103.71641977086385","0","3.0","31","1","266"
"karma-firefox-launcher-1.1.0","6","46.0","39.0","4297.21","false","606.95","3","11","7.0","false","0.0","0.0","0.0","61.0","189","0","13.0","21","0","false","7.08","0","8","1.0","false","107.0","12.0","0.0","99.63650457194134","4","2.0","13","3","143"
"react-addons-test-utils-15.6.2","6","10.0","9.0","779.4","false","140.18","2","0","5.0","false","0.0","0.0","0.0","23.0","53","1","7.0","8","0","false","5.56","0","0","1.0","false","33.0","10.0","0.0","106.67566698538934","0","3.0","4","0","31"
"vinyl-source-stream-2.0.0","0","7.0","7.0","64.79","false","43.19","3","2","5.0","false","0.0","0.0","0.0","6.0","26","0","4.0","9","0","false","1.5","0","1","1.0","false","13.0","3.0","0.0","123.0477096798071","0","1.0","3","1","22"
"winston-3.2.1","4","5.0","5.0","24.56","false","49.11","1","5","1.0","false","0.0","0.0","0.0","14.0","60","18","0.0","1","0","false","0.5","0","3","1.0","false","19.0","1.0","0.0","131.02566926529153","0","0.0","9","1","46"
"node-sass-4.11.0","5","37.0","23.0","6867.83","false","656.58","3","14","13.0","false","0.0","0.0","0.0","90.0","263","20","41.0","21","0","false","10.46","1","5","1.0","false","127.0","13.0","0.0","109.26191172051759","2","3.0","37","1","224"
"mocha-lcov-reporter-1.3.0","0","0.0","0.0","0.0","false","0.0","0","0","1.0","false","0.0","0.0","0.0","1.0","1","1","0.0","0","0","false","0.0","0","0","1.0","false","1.0","1.0","0.0","171.0","0","0.0","0","0","1"
"watchify-3.11.1","1","22.0","21.0","2355.92","false","345.95","3","11","23.0","false","0.0","0.0","0.0","46.0","143","0","42.0","18","0","false","6.81","1","2","1.0","false","68.0","13.0","0.0","115.418268466391","3","2.0","22","0","129"
"redis-2.8.0","110","68.0","49.0","52153.32","false","3579.5","3","29","35.0","false","0.0","0.0","0.0","516.0","919","7","70.0","77","0","false","14.57","1","6","1.0","false","584.0","21.0","0.0","89.9817412686165","1","5.0","61","1","717"
"superagent-4.1.0","75","111.0","68.0","94697.28","false","4833.96","4","30","212.0","false","0.0","0.0","0.0","630.0","954","87","713.0","28","5","false","19.59","0","7","2.0","false","741.0","24.0","0.0","100.12896503061083","5","13.0","123","1","910"
"jscs-3.0.7","11","19.0","17.0","2743.05","false","377.83","3","4","22.0","false","0.0","0.0","0.0","58.0","185","17","17.0","18","0","false","7.26","1","16","1.0","false","77.0","13.0","0.0","112.40071162636241","0","1.0","26","5","137"
"file-loader-3.0.1","0","1.0","1.0","1.5","false","3.0","0","0","1.0","false","0.0","0.0","0.0","2.0","4","0","0.0","0","0","true","0.5","0","0","1.0","false","3.0","1.0","0.0","147.15534068012786","0","0.0","0","0","4"
"phantomjs-2.1.7","7","5.0","5.0","58.5","false","39.0","1","0","1.0","false","0.0","0.0","0.0","8.0","28","4","0.0","1","0","false","1.5","0","0","1.0","false","13.0","3.0","0.0","103.10221543566838","0","0.0","1","0","19"
"mongoose-5.4.18","0","0.0","0.0","0.0","false","0.0","0","0","1.0","false","0.0","0.0","0.0","1.0","2","1","0.0","0","0","false","0.0","0","0","1.0","false","1.0","1.0","0.0","159.7710156749289","0","0.0","0","0","2"
"tap-spec-5.0.0","10","29.0","26.0","2368.89","false","471.89","2","2","11.0","false","0.0","0.0","1.0","63.0","110","0","16.0","10","2","false","5.02","0","1","1.0","false","92.0","9.0","1.0","112.90225103194976","8","1.0","15","0","86"
"ember-disable-prototype-extensions-1.1.3","0","1.0","1.0","1.0","false","2.0","0","2","1.0","false","0.0","0.0","0.0","1.0","9","1","0.0","1","0","false","0.5","0","2","1.0","false","2.0","1.0","0.0","135.40496184715323","0","0.0","1","2","8"
"inquirer-6.2.2","3","4.0","4.0","18.58","false","37.15","2","3","1.0","false","0.0","0.0","0.0","12.0","41","6","0.0","9","1","false","0.5","0","2","1.0","false","16.0","1.0","1.0","131.97996339032645","5","0.0","6","0","34"
"eslint-plugin-jsx-a11y-6.2.1","0","0.0","0.0","0.0","false","0.0","0","21","1.0","false","0.0","0.0","0.0","1.0","167","1","0.0","0","0","false","0.0","0","35","1.0","false","1.0","1.0","0.0","88.08850023884857","0","0.0","0","0","8"
"nock-10.0.6","0","1.0","1.0","2.5","false","5.0","0","1","1.0","false","0.0","0.0","0.0","4.0","10","0","0.0","0","0","false","0.5","0","3","1.0","false","5.0","1.0","0.0","130.56440719048686","0","0.0","0","3","9"
